Name,Bits,SW Access,HW Access,HWQE Access,Default Value,Comment
SAFETY_ISLAND_CLK_SEL,2,rw,hro,0,1,"Safety Island fll select (0 -> host fll, 1 -> alt fll, 2 -> per fll, 3 -> secd fll)"
SECURITY_ISLAND_CLK_SEL,2,rw,hro,0,3,"Security Island fll select (0 -> host fll, 1 -> alt fll, 2 -> per fll, 3 -> secd fll)"
PULP_CLUSTER_CLK_SEL,2,rw,hro,0,1,"PULP Cluster fll select (0 -> host fll, 1 -> alt fll, 2 -> per fll, 3 -> secd fll)"
SPATZ_CLUSTER_CLK_SEL,2,rw,hro,0,1,"Spatz Cluster fll select (0 -> host fll, 1 -> alt fll, 2 -> per fll, 3 -> secd fll)"
L2_CLK_SEL,2,rw,hro,0,1,"L2 Memory fll select (0 -> host fll, 1 -> alt fll, 2 -> per fll, 3 -> secd fll)"
PERIPH_CLK_DIV_VALUE,24,rw,hro,1,1,Periph Domain clk divider value
SAFETY_ISLAND_CLK_DIV_VALUE,24,rw,hro,1,1,Safety Island clk divider value
SECURITY_ISLAND_CLK_DIV_VALUE,24,rw,hro,1,1,Security Island clk divider value
PULP_CLUSTER_CLK_DIV_VALUE,24,rw,hro,1,1,PULP Cluster clk divider value
SPATZ_CLUSTER_CLK_DIV_VALUE,24,rw,hro,1,1,Spatz Cluster clk divider value
L2_CLK_DIV_VALUE,24,rw,hro,1,1,L2 Memory clk divider value
HOST_FETCH_ENABLE,1,ro,hro,0,0,Host Domain fetch enable
SAFETY_ISLAND_FETCH_ENABLE,1,rw,hro,0,0,Safety Island fetch enable
SECURITY_ISLAND_FETCH_ENABLE,1,rw,hro,0,0,Security Island fetch enable
PULP_CLUSTER_FETCH_ENABLE,1,rw,hro,0,0,PULP Cluster fetch enable
SPATZ_CLUSTER_DEBUG_REQ,2,rw,hro,0,0,Spatz Cluster debug req
HOST_BOOT_ADDR,32,rw,hro,0,0x1000,Host boot address
SAFETY_ISLAND_BOOT_ADDR,32,rw,hro,0,0x70000000,Safety Island boot address
SECURITY_ISLAND_BOOT_ADDR,32,rw,hro,0,0x70000000,Security Island boot address
PULP_CLUSTER_BOOT_ADDR,32,rw,hro,0,0x70000000,PULP Cluster boot address
SPATZ_CLUSTER_BOOT_ADDR,32,rw,hro,0,0x70000000,Spatz Cluster boot address
PULP_CLUSTER_BOOT_ENABLE,1,rw,hro,0,0,PULP Cluster boot enable
SPATZ_CLUSTER_BUSY,1,ro,hrw,0,0,Spatz Cluster busy
PULP_CLUSTER_BUSY,1,ro,hrw,0,0,PULP Cluster busy
PULP_CLUSTER_EOC,1,ro,hrw,0,0,PULP Cluster end of computation
ETH_CLK_DIV_EN,1,rw,hro,1,1,Ethernet clock divider enable bit
ETH_CLK_DIV_VALUE,20,rw,hro,1,10,Ethernet clock divider value
HYPERBUS_CLK_DIV_EN,1,rw,hro,1,1,Hyperbus clock divider enable bit
HYPERBUS_CLK_DIV_VALUE,20,rw,hro,1,1,Hyperbus clock divider value
STREAMER_CLK_DIV_ENABLE,1,rw,hro,1,0,Streamer clock divider enable
STREAMER_CLK_DIV_VALUE,6,rw,hro,1,1,Streamer clock divider value
STREAMER_GENERAL_IRQ,1,rw,hwo,1,0,Streamer general interrupt
SPW_GENERAL_IRQ,1,rw,hwo,1,0,SpaceWire general interrupt
